Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 41 [error] Failed to create a texture for skybox
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 105 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 105 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
Jan 16 2018 20:30:15 ..\..\Source\DirectX9\DirectXSkybox.cpp 91 [error] Could not find texture map path: skybox_texture.jpg
